"country","year","di01","dm02"
"Australia",1960,17.96334,NA
"Australia",1961,17.37207,NA
"Australia",1962,17.78917,NA
"Australia",1963,18.21994,NA
"Australia",1964,19.04593,NA
"Australia",1965,20.01215,NA
"Australia",1966,20.9926,NA
"Australia",1967,21.45156,NA
"Australia",1968,22.26753,NA
"Australia",1969,22.26782,NA
"Australia",1970,21.31683,NA
"Australia",1971,21.79309,NA
"Australia",1972,23.09914,NA
"Australia",1973,25.40131,NA
"Australia",1974,25.3234,NA
"Australia",1975,25.12314,1.205081
"Australia",1976,25.56662,1.277149
"Australia",1977,25.72074,1.345712
"Australia",1978,26.33852,0.746164
"Australia",1979,26.56342,1.48859
"Australia",1980,25.90776,3.303866
"Australia",1981,25.66058,4.409012
"Australia",1982,25.74332,2.539889
"Australia",1983,27.23434,5.272992
"Australia",1984,28.79251,5.23097
"Australia",1985,34.91621,8.468393
"Australia",1986,38.75246,12.44857
"Australia",1987,40.16586,30.41259
"Australia",1988,43.94309,17.38285
"Australia",1989,56.22528,14.55163
"Australia",1990,59.37056,12.93068
"Australia",1991,60.04892,14.03905
"Australia",1992,60.68377,12.94471
"Australia",1993,61.87222,21.41553
"Australia",1994,64.68273,30.90757
"Australia",1995,67.73711,26.74101
"Australia",1996,69.81522,36.21359
"Australia",1997,73.27258,34.56577
"Australia",1998,77.18988,38.99071
"Australia",1999,82.08314,51.15908
"Australia",2000,84.59007,51.35156
"Australia",2001,85.82193,63.57967
"Australia",2002,88.33998,73.72274
"Australia",2003,96.15017,90.39239
"Australia",2004,99.37494,88.96831
"Australia",2005,104.3459,88.35632
"Australia",2006,109.4296,115.1315
"Australia",2007,117.8514,160.9729
"Australia",2008,121.2538,79.67149
"Australia",2009,127.2778,90.69588
"Australia",2010,123.5869,98.70861
"Australia",2011,121.5957,80.79927
"Australia",2012,123.2892,58.57547
"Australia",2013,122.2391,49.98662
"Australia",2014,127.2798,47.93824
"Australia",2015,135.901,55.53301
"Australia",2016,138.8989,65.76326
"Australia",2017,136.8438,63.40498
"Australia",2018,135.6649,54.01892
"Australia",2019,132.5541,59.73405
"Australia",2020,142.9444,92.13039
"Nigeria",1960,3.696699,NA
"Nigeria",1961,3.704259,NA
"Nigeria",1962,4.979019,NA
"Nigeria",1963,5.648142,NA
"Nigeria",1964,6.232381,NA
"Nigeria",1965,6.553704,NA
"Nigeria",1966,6.864858,NA
"Nigeria",1967,7.603724,NA
"Nigeria",1968,6.04576,NA
"Nigeria",1969,4.933738,NA
"Nigeria",1970,3.862077,NA
"Nigeria",1971,4.798851,NA
"Nigeria",1972,5.448268,NA
"Nigeria",1973,5.963303,NA
"Nigeria",1974,4.624056,NA
"Nigeria",1975,6.426124,NA
"Nigeria",1976,7.208665,NA
"Nigeria",1977,8.735447,NA
"Nigeria",1978,10.70951,NA
"Nigeria",1979,10.16499,NA
"Nigeria",1980,12.02765,NA
"Nigeria",1981,5.725914,NA
"Nigeria",1982,6.375795,NA
"Nigeria",1983,6.151426,NA
"Nigeria",1984,6.211178,NA
"Nigeria",1985,5.99109,NA
"Nigeria",1986,7.528398,NA
"Nigeria",1987,6.563383,NA
"Nigeria",1988,6.010196,NA
"Nigeria",1989,5.042702,NA
"Nigeria",1990,4.89819,NA
"Nigeria",1991,4.942261,NA
"Nigeria",1992,8.137717,NA
"Nigeria",1993,6.929662,0.1088202
"Nigeria",1994,8.021284,0.1324149
"Nigeria",1995,6.948777,0.1896853
"Nigeria",1996,6.65034,0.6159862
"Nigeria",1997,7.536725,0.9163603
"Nigeria",1998,7.967091,1.116254
"Nigeria",1999,8.421494,0.1896497
"Nigeria",2000,8.415277,NA
"Nigeria",2001,9.964557,0.2285549
"Nigeria",2002,8.190492,NA
"Nigeria",2003,9.067706,NA
"Nigeria",2004,8.842697,1.23226
"Nigeria",2005,8.747597,1.109251
"Nigeria",2006,8.595691,1.523731
"Nigeria",2007,15.59466,6.298354
"Nigeria",2008,21.19846,4.960489
"Nigeria",2009,19.23871,1.539238
"Nigeria",2010,13.25141,1.412385
"Nigeria",2011,10.93194,0.9560472
"Nigeria",2012,10.55325,0.8985261
"Nigeria",2013,11.52442,1.224295
"Nigeria",2014,13.29021,0.9389303
"Nigeria",2015,13.06693,0.8391254
"Nigeria",2016,14.59722,0.373074
"Nigeria",2017,12.77731,0.5871263
"Nigeria",2018,10.17949,0.6511238
"Nigeria",2019,10.43072,0.6062232
"Nigeria",2020,11.2281,0.5741304
